video_id,hour1_views,hour1_likes,hour1_comments,channel_id,publish_time,category,subscriber_count,avg_last10_views,duration_seconds,hook_probability,motion_intensity_3s,face_ratio_3s,cuts_first3s,hook_audio_intensity,tempo_bpm,hook_text_ratio
fKdvzghECKw,942,30,0,UC51EbWcqBiEiumN_vNUYVug,2026-02-26T05:06:40Z,People & Blogs,13500,10871.7,20,0.0797379313847482,9.926132202148438,0.3333333333333333,0.0,0.0256107617169618,156.60511363636363,1.0
aV2Nk_av10M,771,36,3,UCcj7MIoVtfiS67CgGmw7eQQ,2026-02-26T05:06:00Z,Gaming,73100,4078.3,23,0.1589920194667271,1.154688835144043,0.0,0.0,0.229114755988121,82.03125,1.0
Daq3rGDGiOI,1474,6,0,UCytlkSSjELNqhLotYjBuszA,2026-02-26T05:04:23Z,Entertainment,33800,14604.7,16,0.0916740781282068,6.897421836853027,0.0,1.0,0.0615584030747413,132.51201923076923,1.0
lBPjFQtnVBs,750,8,0,UCpkf13U6AW1b0hAexwkbwlw,2026-02-26T05:00:50Z,Howto & Style,12100,1273.5,29,0.3706449221645663,10.118033409118652,1.0,0.0,0.2121762782335281,161.4990234375,0.0
LGnid4Za3P8,833,4,0,UCUKw6eoOVS2rJgkdfMaP9dQ,2026-02-26T05:00:21Z,People & Blogs,50800,1671.4,10,0.3326145983069797,11.0574951171875,0.0,1.3333333333333333,0.1727782487869262,156.60511363636363,0.0
2AaHe_TCvO4,505,4,1,UC8msZm95tdvSJVQs4aloe0w,2026-02-26T04:56:24Z,Education,70400,11467.4,37,0.0421803481340416,10.553964614868164,0.6666666666666666,0.6666666666666666,0.1018783673644065,126.04801829268293,0.0
TWs00ajIau0,3,0,0,UCsTD1klutVuL70TES_nWfXQ,2026-02-26T06:00:04Z,Entertainment,22200,255.9,16,0.0115874855156431,4.438395023345947,1.0,0.0,0.0446535646915435,90.66611842105264,0.0
6DbpR7LHz4Q,1798,0,0,UCoN5zYCf7LxW80naZ1rwPdA,2026-02-26T05:47:01Z,People & Blogs,20500,4722.6,15,0.275741496181333,10.660991668701172,1.0,0.0,0.0918065831065177,99.38401442307692,0.0
e0hLeL9WjXE,2023,0,4,UCEZIEvjFQEwsZheRPLPC4bg,2026-02-26T05:36:32Z,People & Blogs,10100,613.2,57,0.767392458842273,0.0146124232560396,1.0,0.6666666666666666,0.2073805332183838,156.60511363636363,0.0
47JXgbtdn2g,1615,289,6,UCZKMVlyviDozfIhLZs-Nsyw,2026-02-26T05:37:02Z,People & Blogs,14200,6983.0,40,0.1878343800883926,6.427762508392334,1.0,0.0,0.2868592143058777,135.99917763157896,1.0
T5uc9YX5_Yc,921,0,0,UCwmTpNlbIXBMfPIVj55mVig,2026-02-26T05:37:51Z,Gaming,17800,23082.4,31,0.0383695643117225,7.994894981384277,1.0,0.0,0.1294927150011062,101.33272058823528,0.0
CCF7Py6bl30,2744,59,0,UCkWj50d2W6stAEMtKUDnZ_w,2026-02-26T05:36:00Z,People & Blogs,20900,806.4,59,0.7728706624605678,4.325033664703369,0.0,0.0,0.0248935092240571,206.71875,0.0
x8Jd5PRVa0g,943,0,0,UCc6Nq7o8BmIoHLsfvDbmwIw,2026-02-26T05:30:32Z,Entertainment,81300,10720.4,49,0.0808512097673062,9.689041137695312,1.0,0.6666666666666666,0.2006259113550186,161.4990234375,0.0
jbfzBjtfsts,12,1,0,UCXFLIvSVPgfk85Bav3PTCFg,2026-02-26T05:25:17Z,People & Blogs,52800,3691.8,34,0.0032399157621901,2.6427834033966064,0.0,0.0,0.1898689568042755,178.20581896551724,0.0
